walk no 1 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 1 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 1 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 2 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 2 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 2 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 3 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 3 for Vertex 1: 1,0,0,0,1,1,1,2,1,0,2,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 3 for Vertex 2: 2,0,0,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
walk no 4 for Vertex 0: 0,1,1,2,0,1,0,1,0,2,1,2,1,0,0,1,0,2,2,0,2,1,2,2,2,1,1,1,0,1,0,1,1,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,1,0,0,1,0,0,0,1,1,1,0,1,2,1,2,0,2,2,1,2,0,0,2
